date,open,high,low,close,volume,ma20,ma50
2008.08.01 00:00:00,1.5596,1.5598,1.5515,1.5563,10960,1.57002436476471,1.57052666831342
2008.08.04 00:00:00,1.5574,1.5631,1.5553,1.5571,9931,1.568793472882356,1.570000132301129
2008.08.05 00:00:00,1.557,1.5575,1.5445,1.5449,13179,1.566517904036418,1.569015813387359
2008.08.06 00:00:00,1.545,1.5516,1.5398,1.5413,11009,1.564116198890092,1.567928918744717
2008.08.07 00:00:00,1.5412,1.5502,1.531,1.5323,13382,1.561086084710083,1.566531706244925
2008.08.08 00:00:00,1.5324,1.5334,1.4997,1.5005,18394,1.555315981404361,1.563942227568653
2008.08.11 00:00:00,1.4943,1.5083,1.4879,1.4892,16552,1.549019221270612,1.561011159820863
2008.08.12 00:00:00,1.4893,1.4964,1.4815,1.4913,17169,1.543522152578173,1.558277388847495
2008.08.13 00:00:00,1.4914,1.4977,1.4841,1.4921,17443,1.538624804713585,1.555682197127986
2008.08.14 00:00:00,1.4922,1.4949,1.4777,1.4802,16214,1.533060537598006,1.552722110966104
2008.08.15 00:00:00,1.4805,1.4806,1.466,1.4689,14607,1.526950010207719,1.54943496935959
2008.08.18 00:00:00,1.4684,1.4767,1.4673,1.4678,12671,1.521316675902222,1.546233598012155
2008.08.19 00:00:00,1.4677,1.4794,1.4629,1.4781,13229,1.517200802006773,1.543561692207757
2008.08.20 00:00:00,1.4783,1.4805,1.4672,1.4743,10537,1.513115011339461,1.540845547415296
2008.08.21 00:00:00,1.4742,1.4908,1.4731,1.4896,12639,1.510875486449988,1.538835918104892
2008.08.22 00:00:00,1.4895,1.49,1.4758,1.4792,6185,1.507858773454751,1.536497254649798
2008.08.25 00:00:00,1.4789,1.4807,1.4696,1.4753,9726,1.504757937887632,1.534097362310591
2008.08.26 00:00:00,1.4754,1.4759,1.4571,1.4643,14334,1.500904800945953,1.53136021084743
2008.08.27 00:00:00,1.4644,1.4776,1.4633,1.4715,15694,1.498104343713005,1.529012751598511
2008.08.28 00:00:00,1.4716,1.4811,1.4671,1.4693,15904,1.495361072883195,1.526671075065237
2008.08.29 00:00:00,1.4694,1.4767,1.464,1.4678,13262,1.492736208799081,1.524362405454835
2008.09.01 00:00:00,1.4707,1.4723,1.4581,1.4586,10335,1.489485141294407,1.521783487593861
2008.09.02 00:00:00,1.4587,1.4599,1.4464,1.4513,16943,1.48584846117113,1.519019429256847
2008.09.03 00:00:00,1.4512,1.4528,1.4383,1.449,16138,1.482339083916737,1.516273569285991
2008.09.04 00:00:00,1.4491,1.4542,1.4209,1.4239,19323,1.476773456877048,1.512651076372814
2008.09.05 00:00:00,1.424,1.4348,1.4196,1.4267,22212,1.472004556222091,1.509280445926822
2008.09.08 00:00:00,1.4377,1.4428,1.4053,1.4117,22070,1.46626126515332,1.505453761772829
2008.09.09 00:00:00,1.4118,1.4226,1.4046,1.4106,22145,1.460960192281575,1.501734006409189
2008.09.10 00:00:00,1.4107,1.4179,1.3953,1.3965,21757,1.454821126349997,1.497607182628436
2008.09.11 00:00:00,1.397,1.404,1.3881,1.4018,21194,1.449771495269045,1.493850038211635
2008.09.12 00:00:00,1.4012,1.4231,1.3971,1.4224,19036,1.447164686195802,1.491048075928826
2008.09.15 00:00:00,1.4293,1.4481,1.4084,1.4273,33685,1.445272811320012,1.488548151382597
2008.09.16 00:00:00,1.4276,1.4282,1.4071,1.4096,34991,1.441875400718106,1.485452145446025
2008.09.17 00:00:00,1.41,1.4384,1.4094,1.4323,33561,1.440963457792572,1.483367747585397
2008.09.18 00:00:00,1.4328,1.4542,1.4278,1.4324,36167,1.440147890383755,1.481369012385969
2008.09.19 00:00:00,1.4323,1.4498,1.415,1.4467,30462,1.440771900823397,1.480009443272794
2008.09.22 00:00:00,1.449,1.4867,1.4436,1.4798,25183,1.444488862649741,1.480001229811116
2008.09.23 00:00:00,1.4796,1.4825,1.4622,1.4671,18245,1.446642304302146,1.479495299230288
2008.09.24 00:00:00,1.467,1.4746,1.4603,1.4613,18442,1.448038275320989,1.478781758084002
2008.09.25 00:00:00,1.4612,1.4767,1.4561,1.4617,22604,1.449339391957086,1.478111885217963
2008.09.26 00:00:00,1.4615,1.4677,1.4554,1.4613,21041,1.450478497484982,1.477452595601572
2008.09.29 00:00:00,1.4517,1.4575,1.4302,1.4417,26355,1.44964245010546,1.476050533028961
2008.09.30 00:00:00,1.4418,1.4426,1.4008,1.4114,25638,1.446000312000178,1.473515218008218
2008.10.01 00:00:00,1.4113,1.4174,1.3975,1.4008,25874,1.441695520381114,1.470663640831425
2008.10.02 00:00:00,1.4009,1.4024,1.3747,1.38,30683,1.435819756535293,1.467108203936075
2008.10.03 00:00:00,1.3801,1.3906,1.3702,1.3771,29292,1.430227398770027,1.463578470448386
2008.10.06 00:00:00,1.3637,1.3678,1.3443,1.3483,37994,1.422424789363358,1.459057746117077
2008.10.07 00:00:00,1.3486,1.3743,1.3483,1.3617,36995,1.416641476090657,1.455239795288956
2008.10.08 00:00:00,1.3616,1.3756,1.3544,1.3631,44615,1.411542287891547,1.451626469983507
2008.10.09 00:00:00,1.3632,1.3785,1.3577,1.3598,34170,1.406614450949495,1.448025431944938
2008.10.10 00:00:00,1.3597,1.3649,1.3258,1.3408,36772,1.400346408001924,1.443820513045136
2008.10.13 00:00:00,1.358,1.3682,1.3456,1.3596,27769,1.396465797716027,1.44051774782768
2008.10.14 00:00:00,1.3595,1.3768,1.359,1.3619,31593,1.393173816981167,1.437434698893261
2008.10.15 00:00:00,1.362,1.3687,1.3449,1.3459,32200,1.388671548697246,1.433845102858231
2008.10.16 00:00:00,1.3461,1.3538,1.3345,1.348,39090,1.384798067868937,1.43047862823634
2008.10.17 00:00:00,1.3479,1.3517,1.3386,1.341,24613,1.380626823309991,1.42696966242315
2008.10.20 00:00:00,1.3405,1.353,1.3287,1.333,22778,1.376090935375706,1.423284577622242
2008.10.21 00:00:00,1.3331,1.3353,1.3051,1.3054,24562,1.369358465339924,1.418661653009605
2008.10.22 00:00:00,1.3055,1.3077,1.2737,1.2825,33304,1.361086230545646,1.413321980342562
2008.10.23 00:00:00,1.2826,1.3004,1.2727,1.2962,35827,1.354906589541298,1.408728961505599
2008.10.24 00:00:00,1.2963,1.2973,1.2496,1.2622,46416,1.346077390537365,1.402982727721066
2008.10.27 00:00:00,1.2576,1.2685,1.2334,1.2461,37595,1.336555734295711,1.396830463888867
2008.10.28 00:00:00,1.2463,1.2833,1.2329,1.2816,36322,1.331321854838977,1.392311622167735
2008.10.29 00:00:00,1.2815,1.299,1.2626,1.2951,39917,1.327872154378122,1.388499401690569
2008.10.30 00:00:00,1.295,1.329,1.2805,1.2875,38541,1.324027187294491,1.384538640839958
2008.10.31 00:00:00,1.2874,1.2894,1.2667,1.2725,34941,1.319119836123587,1.380144968650156
2008.11.03 00:00:00,1.2769,1.2897,1.2575,1.2583,27292,1.313327470778484,1.375366734585444
2008.11.04 00:00:00,1.2584,1.3048,1.2525,1.2994,35477,1.312001044990057,1.372387646954642
2008.11.05 00:00:00,1.2993,1.3115,1.2792,1.2927,39163,1.310162850229099,1.369262641191715
2008.11.06 00:00:00,1.293,1.2955,1.2675,1.2678,40377,1.306128293064423,1.365283714086158
2008.11.07 00:00:00,1.2677,1.285,1.2653,1.2717,28133,1.302849408010668,1.361613764514152
2008.11.10 00:00:00,1.2816,1.2927,1.2718,1.275,31780,1.300197083438224,1.35821714629791
2008.11.11 00:00:00,1.2749,1.28,1.2506,1.2511,31085,1.295521170729821,1.354016473894071
2008.11.12 00:00:00,1.251,1.2631,1.2436,1.2453,40124,1.290738202088886,1.34975308276097
2008.11.13 00:00:00,1.2454,1.2854,1.2389,1.2786,43346,1.289582182842326,1.346962765789952
2008.11.14 00:00:00,1.2785,1.2828,1.2571,1.2604,34491,1.286802927333533,1.343568147523679
2008.11.17 00:00:00,1.2537,1.2742,1.2512,1.2634,33487,1.284574077111291,1.340424298601182
2008.11.18 00:00:00,1.2635,1.27,1.2566,1.2636,30520,1.282576545957835,1.337411581008979
2008.11.19 00:00:00,1.2637,1.2813,1.2472,1.2497,28603,1.279445446342803,1.333971911165489
2008.11.20 00:00:00,1.2492,1.2593,1.2434,1.2454,31523,1.276203022881584,1.33049850288449
2008.11.21 00:00:00,1.2453,1.2638,1.2423,1.2587,31565,1.274536068321433,1.327682875320392
2008.11.24 00:00:00,1.2608,1.2959,1.2563,1.2948,30903,1.276465966576535,1.326393350798024
2008.11.25 00:00:00,1.2944,1.308,1.2803,1.3056,31215,1.279240636426388,1.325577925276533
2008.11.26 00:00:00,1.3057,1.3057,1.2819,1.2878,27299,1.28005581390959,1.324096438010786
2008.11.27 00:00:00,1.2877,1.2968,1.286,1.2896,16118,1.280964784013438,1.322743636520167
2008.11.28 00:00:00,1.2899,1.2957,1.2646,1.269,17162,1.279825280774063,1.320636042931141
2008.12.01 00:00:00,1.2694,1.2712,1.2585,1.2616,14678,1.278089539747962,1.318320903992665
2008.12.02 00:00:00,1.2615,1.2765,1.2562,1.2719,15842,1.277500059771965,1.31650047638511
2008.12.03 00:00:00,1.2721,1.274,1.26,1.2712,15111,1.276900054079397,1.314723987115106
2008.12.04 00:00:00,1.2713,1.2847,1.2549,1.2771,15415,1.276919096548026,1.313248536640004
2008.12.05 00:00:00,1.2772,1.2798,1.2627,1.2717,15617,1.276422039733929,1.311619182261964
2008.12.08 00:00:00,1.2723,1.2966,1.2714,1.2937,13458,1.278067559759269,1.310916469232083
2008.12.09 00:00:00,1.2936,1.3,1.2799,1.2924,13279,1.27943255406791,1.310190333183766
2008.12.10 00:00:00,1.2925,1.3069,1.2903,1.302,12647,1.281581834632871,1.309869143647148
2008.12.11 00:00:00,1.3019,1.3403,1.3,1.3345,14941,1.286621659905931,1.310835059582554
2008.12.12 00:00:00,1.3342,1.3414,1.325,1.3367,17443,1.291391025629175,1.311849370971474
2008.12.15 00:00:00,1.3394,1.3726,1.3392,1.3702,20307,1.29889664223592,1.314137630933377
2008.12.16 00:00:00,1.3701,1.4147,1.3629,1.4047,17536,1.308973152499166,1.31768909638697
2008.12.17 00:00:00,1.4048,1.4437,1.4008,1.4404,21172,1.321489995118293,1.32250128868552
2008.12.18 00:00:00,1.4403,1.4719,1.4186,1.4266,39995,1.331500471773694,1.32658359109001
